Product Name,Product Link,Breadcrumbs,Raw Text
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-hya-matte-liquid-lipstick-with-vitamin-e-53ml---afterhours-wine-h10/32683846/buy,Home > Personal Care > Lipstick,4.3 | | | 1.1k | AD | Lakme | Hya Matte Lipstick - H10 | Rs. 559Rs. 799(30% OFF)
4.4 |,https://www.myntra.com/lipstick/mars/mars-set-of-3-matte-lipsticks-box---browns-04/17723176/buy,Home > Personal Care > Lipstick,4.4 | | | 20.1k | MARS | Set of 3 Matte Lipsticks Box | Rs. 339Rs. 447(24% OFF)
4.2 |,https://www.myntra.com/lipstick/mars/mars-brown-smudge-wont-budge-lip-crayon/15792264/buy,Home > Personal Care > Lipstick,4.2 | | | 15.7k | MARS | Brown Lip Crayon | Rs. 248Rs. 279(11% OFF)
4 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-nourishing-natural-lip-cheek--eye-tint-with-vitamin-c--rose-4g---rose-pink-03/21555910/buy,Home > Personal Care > Lipstick,4 | | | 1.8k | AD | Mamaearth | Lip Cheek & Eye Tint- 03 | Rs. 239Rs. 399(40% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-5-ml---artist-120/8051031/buy,Home > Personal Care > Lipstick,4.5 | | | 176.8k | Maybelline | Super Stay Matte Ink - Artist | Rs. 591Rs. 749(21% OFF)
4.4 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-creamy-matte-lipstick---burgundy-blush/1963298/buy,Home > Personal Care > Lipstick,4.4 | | | 108.9k | Maybelline | Creamy Matte - Burgundy Blush | Rs. 250Rs. 329(24% OFF)
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-hya-matte-liquid-lipstick-with-vitamin-e-53ml---boss-lady-brick-h06/32684098/buy,Home > Personal Care > Lipstick,4.3 | | | 1.1k | AD | Lakme | Hya Matte Liquid Lipstick-H06 | Rs. 559Rs. 799(30% OFF)
4.4 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-creamy-matte-lipstick--midtown-pink-673/14148770/buy,Home > Personal Care > Lipstick,4.4 | | | 108.9k | Maybelline | Creamy Matte Lipstick- 673 | Rs. 259Rs. 329(21% OFF)
4.2 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-long-lasting-lipstick-with-french-rose-oil-ext-45g---red-aurora-cr8-/15506274/buy,Home > Personal Care > Lipstick,4.2 | | | 68k | Lakme | Lipstick Red Aurora CR8 | Rs. 300Rs. 375(20% OFF)
4.3 |,https://www.myntra.com/lipstick/daily+life+forever52/daily-life-forever52-im-unlimited-long-lasting-lipstick---35-g---deer-014/29837753/buy,Home > Personal Care > Lipstick,4.3 | | | 860 | AD | Daily Life Forever52 | I'm Unlimited Lipstick-014 | Rs. 330Rs. 399(17% OFF) | Only Few Left!
